 ,TOTAL,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Agree strongly,"17,8","31,5","31,9","5,3","2,4","20,6","5,4","20,9","3,6","5,6","2,4",5,"11,1","8,5",10,"25,6",31,"6,6","31,8","38,8","6,8",25,"29,4","2,6","22,5","41,8","7,7","35,3","20,4","16,9","46,6","13,8","5,5","29,3","1,2","2,6","38,5","39,6","3,3","17,8","4,3","33,3",13,"15,2",17,"4,5","0,8","16,4","22,3","3,1","1,3","7,6","5,4","33,9","23,4","16,9","51,1","2,1","2,4","46,5","37,6"
Agree,"25,2","27,7","42,8","17,3","11,2","39,7","23,2","31,6","14,7","31,8","23,1","14,6","20,6","14,7","29,9","24,8",31,"18,2",37,"23,7","23,2","25,9","36,5","22,1","29,4","29,2","34,2","24,3","35,3","24,4","22,5","44,5",15,"24,8",7,"10,6","31,9","33,8","11,5","25,8","20,1","25,7","23,8","32,8","26,7","34,5","18,3","32,1","23,9",11,"7,1","32,8","14,4","28,5","40,7","29,2","28,6","9,6","13,2","20,4","35,9"
Disagree,"35,8",23,19,"40,4","50,9","25,9",49,"34,7","39,9","44,7",58,"51,6","37,3","41,8","32,1","31,9","25,7","39,8","21,3","17,7","60,1","23,5","26,5","35,9","35,6","22,9","37,6","26,8","32,4","37,1","19,8","35,7",54,"19,6","48,1",54,"21,6","18,6","51,5","47,2","53,9","34,2","29,7","35,9",43,"51,1","56,2","28,5","36,5","51,4","42,1","38,8","45,7","23,5",22,"39,9","17,2","53,8","49,7","20,5","17,2"
Strongly disagree,"16,9","12,2","6,2",32,"34,4","11,3","20,2","12,2","35,8","6,7","12,6","27,6",29,"34,9","24,2","13,6","10,4","32,1","9,9","18,9","9,4","11,5","6,1","6,8","12,5","5,7","18,9","9,8","11,6","18,8","8,8",6,"24,8",10,"33,2","22,2","8,1",5,"28,2","9,1","13,4","6,5","27,4","9,3","13,2","9,9","20,1","19,5","17,4","30,3","47,6","20,4","29,7",11,"10,2","13,9","3,1","32,8","27,6","10,8","5,4"
HT: Dropped out survey;RU: Inappropriate response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,"0,6","5,6",0,"0,6","1,1",0,"0,2",0,6,"3,1","0,1","0,2",0,"0,1","0,1","0,2",0,"0,2",0,0,"0,5",0,0,0,0,0,"1,6","1,6","0,1",0,"0,4",0,"0,1","2,8","0,2","2,3",0,"1,4","1,4",0,0,0,"0,5","0,2",0,0,"0,8",0,0,"1,2","0,2","0,3",0,0,"0,8",0,0,"1,8","0,3","1,8",0
Don´t know,"3,8",0,"0,1","4,4",0,"2,5","1,9","0,7",0,"8,1","3,7",1,2,0,"3,7","3,9","1,9","3,2",0,"0,4",0,"14,1","1,5","32,6",0,"0,5",0,"2,2","0,2","2,8",2,0,"0,5","13,6","10,3","8,3",0,"1,5",4,0,"8,4","0,3","5,5","6,4",0,0,"3,6","3,4",0,"3,1","1,7",0,"4,7","3,2","2,9",0,0,0,"6,8",0,"3,9"
(N),"89,567","1,2","1,002","1,03","1,477","1,1","1,486","1,535",1,"2,3","1,238","1,512",1,"1,202","1,533","1,202",1,"2,046","1,552","1,996",1,"4,078","1,2","2,443","1,502","1,2","1,2","1,303","1,5","1,2","2,131","1,3",2,"1,2","1,902",841,"1,759","1,2","1,21","1,2",966,"1,06","1,503","2,5","1,527","1,972","1,069","3,531","1,499","1,189","1,206","1,2",999,"1,205","1,605","1,5","1,523","2,232",1,"1,5",1
