 ,TOTAL,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Agree strongly,"24,1","34,5","29,1","17,4","19,1","15,6","9,3","45,5","12,8","11,2","10,5",14,"19,2","31,4","45,3","19,3","28,5","21,8",10,"8,6","15,1","32,1","24,7","13,8","42,3","45,5","8,9","32,9","31,3","23,4","32,4","12,5",22,"30,4","7,7","15,5","22,2","16,8","17,4","33,7","6,3","45,4","13,4","39,2","19,8","12,9","4,7","17,5",17,"12,4","8,5",9,"28,2","47,2","28,2","49,1","48,8",24,"15,6","72,3","33,9"
Agree,"36,5","29,5","41,3","36,5",48,"36,5","35,1","37,7","27,7","48,8","66,5","40,1","33,5","27,5","38,2","30,9","37,1","30,6","28,9","10,4","66,6","26,1","49,5","51,7",41,"36,8","38,2","28,5","49,1","33,4","26,5","36,5","36,2","29,9","32,6","47,6",29,"30,1","36,8","47,1","34,2","35,5",19,"44,2","26,5",53,"42,8",37,27,"31,9","26,8","33,3",39,"32,7","41,8","40,5","33,5","50,5",37,"17,8","43,3"
Disagree,25,"19,7","22,9","26,9","25,9","26,4","41,4","13,5","29,4","24,2","16,5","30,4","29,5",25,"11,4","30,3","26,6","31,3","43,6",52,"16,2","23,1","18,6","6,9","13,2",14,"38,9","21,5","14,3","26,4","25,8","41,4","27,7","17,8","29,4","20,9","34,5","26,4","29,4","15,5","43,8","16,6","33,3","11,7","34,6",30,"34,1","24,7","40,2","34,8",37,"37,9","21,6","11,8","21,6","8,8","15,1","20,2","26,3","6,4","12,4"
Strongly disagree,"9,2","7,4",6,"13,1",6,"16,7",11,"2,8","21,4","2,5","1,4","12,2",13,"15,5","2,7","13,5","5,2","11,7","17,5","27,2","1,7","8,4","2,8","0,6","3,4","3,2",12,"8,7","4,9","11,3","11,5","9,6","12,1","10,8","7,5",2,"14,3","22,6","8,9","3,5","7,6","2,1","28,3","1,9","19,2","4,1","9,5","16,8","15,8","10,3","11,4","19,3","6,4","4,5","5,8","1,7","2,5",4,"9,2","1,8","2,3"
BH:Missing;HT: Missing-Dropped out survey; RU: Inappropriate response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,"0,7","8,9",0,"0,3",1,"0,1","0,1",0,"1,3","3,2","0,2","0,9",0,"0,4","0,1","0,4",0,"0,1",0,0,"0,4",0,0,0,0,0,"1,9","1,8","0,3",0,"1,2",0,"0,3","3,3","0,2","2,7",0,"0,7",2,"0,1","0,2",0,"0,9","0,3",0,0,"1,3",0,0,"2,8","2,3","0,4",0,0,"0,5",0,0,"1,3","0,7","1,7",0
Don´t know,"4,5",0,"0,8","5,9",0,"4,7","3,1","0,6","7,4","10,1","4,9","2,4","4,8","0,2","2,4","5,7","2,6","4,6",0,"1,4",0,"10,3","4,5",27,0,"0,4","0,1","6,5","0,1","5,4","2,6",0,"1,8","7,8","22,6","11,3",0,"3,5","5,6","0,1","7,9","0,4","5,2","2,5",0,0,"7,5","4,1",0,"7,8",14,0,"4,7","3,8","2,2",0,0,0,"11,2",0,"8,1"
(N),"89,567","1,2","1,002","1,03","1,477","1,1","1,486","1,535",1,"2,3","1,238","1,512",1,"1,202","1,533","1,202",1,"2,046","1,552","1,996",1,"4,078","1,2","2,443","1,502","1,2","1,2","1,303","1,5","1,2","2,131","1,3",2,"1,2","1,902",841,"1,759","1,2","1,21","1,2",966,"1,06","1,503","2,5","1,527","1,972","1,069","3,531","1,499","1,189","1,206","1,2",999,"1,205","1,605","1,5","1,523","2,232",1,"1,5",1
