 ,TOTAL,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Agree strongly,"10,6","21,5","14,4","5,2","1,3",8,2,"7,5","5,6","4,1","1,3","2,4",6,"9,3","4,7","8,3","13,9","4,5","12,8","37,9","6,4","18,7","7,7","2,8","8,7","17,2","5,8",21,"15,5","12,2","20,8","12,5","6,7","9,2","0,9","0,7","26,2","22,7","5,3","17,2","3,4","14,1",7,"6,4","12,2","5,5","0,5","13,9","7,1","2,8","0,8","8,3","1,9","12,8","12,1","7,1","24,5","1,3","1,6","32,3","23,3"
Agree,"14,6","15,7","16,5","11,8","2,8","16,9","7,4","13,7","14,5",18,11,"8,4","8,1","14,1",11,"9,8","12,8","11,3","17,3","21,8","16,2","16,6","23,7","13,4",13,"11,5","19,9","15,4","25,5","18,9","10,7","30,5",14,"10,3","3,7","4,6",20,"28,4",9,"21,9","8,5","13,5","13,6","16,2",24,"20,6","7,6","24,9","9,1","8,8","1,8","20,7","3,7","11,7","19,9","11,2","11,3","5,2","7,6","16,3",22
Disagree,43,"34,3","50,8","43,2",48,"42,4","58,7","43,9","39,8","56,1","66,8",54,"31,1","41,5","34,1","35,7","41,5","38,6","38,7","20,1","62,3","36,7","41,3","46,1","49,3","36,3","40,9","35,4","41,5","34,1","39,5","43,6","55,2","33,5","48,1","54,6","34,4","31,1","51,5","49,2","62,8","49,4","30,8","53,7",43,"52,2","56,4",29,"53,2","52,3",40,"48,5","40,3","36,3","35,9","54,5","30,2","50,7","53,2","25,4","28,4"
Strongly disagree,"28,9",25,"18,3","35,8","47,1","31,7","30,7",34,"36,4","13,8","17,1","34,7","53,2","34,8","46,6","45,3","30,8","44,8","31,3","19,7","14,7","19,6","26,6",10,29,"34,9","31,9","25,1","17,3","32,3","27,1","13,4","23,7","37,1","43,6","35,7","19,4","14,1","30,5","11,7","20,5",23,43,19,"20,9","21,6","31,5","30,4","30,6","34,5","56,2","22,3","53,2","36,8",30,"27,3","33,9","41,7","32,9","25,1","21,9"
HT: Dropped out survey;RU: Inappropriate response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,"0,4","3,5",0,"0,5","0,8",0,"0,3",0,"0,5","3,3","0,1",0,0,"0,2","0,2","0,1",0,"0,3",0,0,"0,4",0,0,0,0,0,"1,5","1,8","0,1",0,"0,1",0,"0,1","1,8","0,2","1,9",0,"0,6","1,7",0,0,0,"0,8","0,1",0,0,"0,6",0,0,"0,7","0,3","0,3",0,0,"0,2",0,0,1,"0,5","0,9",0
Don´t know,"2,5",0,0,"3,5",0,"0,9","1,1","0,9","3,2","4,8","3,8","0,5","1,6","0,1","3,3","0,8",1,"0,6",0,"0,2",0,"8,5","0,8","27,6",0,0,0,"1,2","0,1","2,5","1,8",0,"0,4",8,"3,5","2,5",0,"3,1",2,0,"4,8",0,"4,7","4,3",0,0,"3,5","1,9",0,"0,9","0,8",0,"0,9","2,5","1,8",0,0,0,"4,2",0,"4,4"
(N),"89,567","1,2","1,002","1,03","1,477","1,1","1,486","1,535",1,"2,3","1,238","1,512",1,"1,202","1,533","1,202",1,"2,046","1,552","1,996",1,"4,078","1,2","2,443","1,502","1,2","1,2","1,303","1,5","1,2","2,131","1,3",2,"1,2","1,902",841,"1,759","1,2","1,21","1,2",966,"1,06","1,503","2,5","1,527","1,972","1,069","3,531","1,499","1,189","1,206","1,2",999,"1,205","1,605","1,5","1,523","2,232",1,"1,5",1
