 ,TOTAL,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Agree strongly,"21,9","47,8",28,8,"4,9","22,7","6,7","28,3","8,3","8,3","2,7","5,4","9,7","12,1","15,9","25,5","51,7","6,7","44,3","15,9","7,1","24,1","43,6","3,7",29,"55,8","10,6","49,3","23,1","22,1",56,"25,6","6,2","30,8","1,4","3,1","46,6","42,6","4,1","27,3",8,"59,5","16,3","19,9","15,9","6,8","2,5","19,6","25,6","4,3","3,3","19,6","7,5",45,32,"21,5","54,4","3,4","2,3","54,9","54,6"
Agree,"26,6","23,8",42,"18,9",17,"40,8","21,7",37,"18,7","39,6","21,8",22,"23,2","14,8",33,"30,3","27,6","13,1",37,"21,4","25,4","27,9","35,7","23,9","35,1","24,7","33,3","26,4","40,5","34,7","18,6",44,"16,8","26,6","9,2",12,"30,2","29,4","14,8","29,1","23,3","25,9","24,8","37,4","29,8","38,8","20,5",32,"32,7",11,"7,5","34,9",15,"27,5",36,"30,4",32,16,6,"20,6","28,7"
Disagree,"32,9","16,3","23,6","42,9","51,9","24,2","50,8","25,3","37,2","37,7","59,2","45,4","37,4","42,5","30,7","29,4",15,44,"14,6","31,1","60,4","26,1","16,2","31,8","26,7","14,4","40,1","14,7","27,9","28,4","16,7","26,2","54,6","16,3","50,5","52,6","18,9","18,1","44,8","38,1","48,2","13,1","29,7","31,5","42,8","48,3","53,2","28,1","28,3","53,4","41,2","31,8",44,"17,6","21,6","38,2","11,8","54,3","31,7","15,3","10,8"
Strongly disagree,"14,1",8,6,"24,5","23,5","9,1",17,"8,6","31,5","5,2","10,3","23,5","26,2","30,4","17,1","9,8","3,8","34,1","4,1","31,6","6,5","10,5",3,"5,5","9,2","3,5","13,8","5,3","7,9","11,6","6,2","4,2","21,5","8,8","26,8","21,5","4,3","7,2","30,3","5,6","8,5","1,3","20,2","6,5","11,5","6,1","19,6","16,9","13,4","27,7","44,3","13,1","23,3","5,5","6,9","9,8","1,8","25,2","50,9","6,9","2,5"
BH: Missing; DE: Inapplicable; RU: Inappropriate response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,"0,5","4,1",0,"0,9","2,7","0,1","0,3",0,"0,1","3,5","0,3","0,3",0,"0,1","0,2","0,1",0,"0,1",0,0,"0,6",0,0,0,0,0,"1,9",2,"0,4",0,"0,3",0,"0,2","3,2","0,2","2,3",0,"0,4","1,8",0,"0,3",0,"0,9","0,2",0,0,"0,5",0,0,1,"0,3","0,7",0,0,"0,6",0,0,"1,1","0,8","2,2",0
Don´t know,4,0,"0,3","4,7",0,"3,1","3,6","0,9","4,2","5,7","5,7","3,3","3,5","0,2","3,1","4,9","1,9",2,0,0,0,"11,5","1,5",35,0,"1,6","0,2","2,3","0,1","3,2","2,4",0,"0,8","14,2","11,9","8,6",0,"2,4","4,2",0,"11,7","0,3","7,9","4,3",0,0,"3,7","3,4",0,"2,7","3,4",0,"10,1","4,5","2,8",0,0,0,"8,3",0,"3,4"
(N),"89,567","1,2","1,002","1,03","1,477","1,1","1,486","1,535",1,"2,3","1,238","1,512",1,"1,202","1,533","1,202",1,"2,046","1,552","1,996",1,"4,078","1,2","2,443","1,502","1,2","1,2","1,303","1,5","1,2","2,131","1,3",2,"1,2","1,902",841,"1,759","1,2","1,21","1,2",966,"1,06","1,503","2,5","1,527","1,972","1,069","3,531","1,499","1,189","1,206","1,2",999,"1,205","1,605","1,5","1,523","2,232",1,"1,5",1
